mouse,month,treatment,hotspots,ln2volume
#263,1,UV,0,13.12579902
#282,1,UV,0,13.12914504
#009,1,UV,0,13.13025866
#303,1,UV,0,13.13025866
#970,1,UV,0,13.13248333
#022,1,UV,0,13.13359438
#281,1,UV,0,13.13359438
#289,1,UV,0,13.13359438
#281,1,UV,0,13.13470457
#022,1,UV,0,13.13581391
#289,1,UV,0,13.13581391
#289,1,UV,0,13.13692239
#974,1,UV,0,13.13692239
#258,1,UV,0,13.13803003
#006,1,UV,0,13.13913682
#022,1,UV,0,13.14024275
#281,1,UV,0,13.14024275
#317,1,UV,0,13.14686063
#009,1,UV,0,13.15125575
#281,1,UV,0,13.15125575
#282,1,UV,0,13.15235244
#291,1,UV,0,13.15235244
#303,1,UV,0,13.15235244
#022,1,UV,0,13.15454332
#974,1,UV,0,13.15454332
#003,1,UV,0,13.15673088
#263,1,UV,0,13.15673088
#258,1,UV,0,13.15782341
#258,1,UV,0,13.16000601
#282,1,UV,0,13.16000601
#131,1,UV,0,13.16109607
#258,1,UV,0,13.16109607
#974,1,UV,0,13.16109607
#006,1,UV,0,13.16218531
#258,1,UV,0,13.16218531
#289,1,UV,0,13.16218531
#291,1,UV,0,13.16436132
#282,1,UV,0,13.16544809
#303,1,UV,0,13.16544809
#282,1,UV,0,13.16870352
#282,1,UV,0,13.17086973
#289,1,UV,0,13.17086973
#303,1,UV,0,13.17086973
#258,1,UV,0,13.17411295
#970,1,UV,0,13.17734891
#131,1,UV,0,13.17950218
#303,1,UV,0,13.18057762
#006,1,UV,0,13.18165225
#006,1,UV,0,13.18379912
#263,1,UV,0,13.18379912
#303,1,UV,0,13.18379912
#282,1,UV,0,13.18487136
#291,1,UV,0,13.18915235
#009,1,UV,0,13.1912881
#009,1,UV,0,13.1912881
#289,1,UV,0,13.1912881
#263,1,UV,0,13.19342069
#003,1,UV,0,13.19555012
#003,1,UV,0,13.19661367
#258,1,UV,0,13.19767643
#003,1,UV,0,13.1997996
#282,1,UV,0,13.1997996
#131,1,UV,0,13.20191965
#131,1,UV,0,13.20191965
#289,1,UV,0,13.20191965
#303,1,UV,0,13.20191965
#282,1,UV,0,13.20297851
#289,1,UV,0,13.20297851
#303,1,UV,0,13.20403659
#003,1,UV,0,13.2050939
#131,1,UV,0,13.2050939
#003,1,UV,0,13.20615043
#303,1,UV,0,13.20615043
#258,1,UV,0,13.21142152
#974,1,UV,0,13.21142152
#282,1,UV,0,13.21667342
#258,1,UV,0,13.21876883
#317,1,UV,0,13.21876883
#258,1,UV,0,13.2198154
#303,1,UV,0,13.2198154
#006,1,UV,0,13.22086121
#009,1,UV,0,13.22086121
#258,1,UV,0,13.22086121
#131,1,UV,0,13.2239941
#258,1,UV,0,13.22607892
#022,1,UV,0,13.22816073
#263,1,UV,0,13.22920051
#258,1,UV,0,13.23231537
#282,1,UV,0,13.23231537
#289,1,UV,0,13.23335216
#006,1,UV,0,13.2343882
#974,1,UV,0,13.23645807
#006,1,UV,0,13.23749189
#263,1,UV,0,13.23749189
#258,1,UV,0,13.23852497
#009,1,UV,0,13.24161977
#258,1,UV,0,13.24161977
#009,1,UV,0,13.2426499
#974,1,UV,0,13.24470796
#291,1,UV,0,13.24573588
#291,1,UV,0,13.24676308
#022,1,UV,0,13.24778954
#263,1,UV,0,13.25086456
#970,1,UV,0,13.25086456
#289,1,UV,0,13.25188811
#006,1,UV,0,13.25291093
#263,1,UV,0,13.25393303
#281,1,UV,0,13.25495441
#970,1,UV,0,13.25495441
#970,1,UV,0,13.25597507
#022,1,UV,0,13.256995
#281,1,UV,0,13.25801421
#009,1,UV,0,13.26106754
#970,1,UV,0,13.2630995
#291,1,UV,0,13.26411441
#003,1,UV,0,13.27220809
#289,1,UV,0,13.27220809
#970,1,UV,0,13.27321662
#131,1,UV,0,13.27422444
#974,1,UV,0,13.27623797
#022,1,UV,0,13.27724368
#974,1,UV,0,13.27724368
#970,1,UV,0,13.2782487
#006,1,UV,0,13.27925301
#003,1,UV,0,13.28025662
#022,1,UV,0,13.28226176
#131,1,UV,0,13.28226176
#281,1,UV,0,13.28326328
#282,1,UV,0,13.28326328
#970,1,UV,0,13.28326328
#022,1,UV,0,13.28426411
#263,1,UV,0,13.28426411
#974,1,UV,0,13.28526425
#003,1,UV,0,13.28925787
#970,1,UV,0,13.29125054
#131,1,UV,0,13.29324047
#303,1,UV,0,13.2942344
#974,1,UV,0,13.29522765
#006,1,UV,0,13.29622022
#281,1,UV,0,13.2972121
#131,1,UV,0,13.2982033
#282,1,UV,0,13.2982033
#258,1,UV,0,13.30018367
#003,1,UV,0,13.30216132
#970,1,UV,0,13.30314912
#003,1,UV,0,13.30413626
#281,1,UV,0,13.30512272
#974,1,UV,0,13.30512272
#022,1,UV,0,13.30709361
#263,1,UV,0,13.30807805
#282,1,UV,0,13.30807805
#303,1,UV,0,13.31004491
#282,1,UV,0,13.31102734
#003,1,UV,0,13.31495038
#289,1,UV,0,13.3169079
#131,1,UV,0,13.31886277
#282,1,UV,0,13.31886277
#263,1,UV,0,13.320815
#009,1,UV,0,13.32179012
#263,1,UV,0,13.32276459
#282,1,UV,0,13.32276459
#006,1,UV,0,13.32373839
#970,1,UV,0,13.32373839
#009,1,UV,0,13.32665588
#009,1,UV,0,13.32762706
#303,1,UV,0,13.32956747
#022,1,UV,0,13.3305367
#289,1,UV,0,13.3324732
#317,1,UV,0,13.33537309
#009,1,UV,0,13.33633843
#974,1,UV,0,13.33633843
#022,1,UV,0,13.33730312
#006,1,UV,0,13.33826717
#289,1,UV,0,13.34019333
#281,1,UV,0,13.34115545
#282,1,UV,0,13.34115545
#970,1,UV,0,13.34115545
#974,1,UV,0,13.34403796
#258,1,UV,0,13.34595643
#289,1,UV,0,13.34691472
#006,1,UV,0,13.34787236
#006,1,UV,0,13.34882937
#282,1,UV,0,13.3507415
#974,1,UV,0,13.35169661
#006,1,UV,0,13.35360493
#009,1,UV,0,13.35551074
#303,1,UV,0,13.35551074
#258,1,UV,0,13.35836474
#022,1,UV,0,13.3612131
#970,1,UV,0,13.3612131
#131,1,UV,0,13.36594791
#303,1,UV,0,13.36594791
#289,1,UV,0,13.36689301
#006,1,UV,0,13.37066723
#974,1,UV,0,13.37066723
#006,1,UV,0,13.37255064
#258,1,UV,0,13.37255064
#003,1,UV,0,13.37349143
#289,1,UV,0,13.3744316
#970,1,UV,0,13.3744316
#258,1,UV,0,13.37631011
#282,1,UV,0,13.37724845
#289,1,UV,0,13.37818618
#009,1,UV,0,13.3791233
#317,1,UV,0,13.3791233
#003,1,UV,0,13.38099571
#009,1,UV,0,13.38193101
#291,1,UV,0,13.3828657
#974,1,UV,0,13.38473327
#263,1,UV,0,13.38566614
#970,1,UV,0,13.38566614
#263,1,UV,0,13.38753009
#003,1,UV,0,13.38846116
#258,1,UV,0,13.38939163
#003,1,UV,0,13.3903215
#006,1,UV,0,13.39125078
#022,1,UV,0,13.39125078
#281,1,UV,0,13.39403501
#003,1,UV,0,13.39496189
#009,1,UV,0,13.39496189
#282,1,UV,0,13.39496189
#022,1,UV,0,13.39773898
#289,1,UV,0,13.3995874
#009,1,UV,0,13.40051072
#303,1,UV,0,13.40051072
#282,1,UV,0,13.4023556
#258,1,UV,0,13.40327716
#009,1,UV,0,13.40419813
#258,1,UV,0,13.40419813
#022,1,UV,0,13.40511851
#003,1,UV,0,13.40695751
#258,1,UV,0,13.40787613
#282,1,UV,0,13.40787613
#009,1,UV,0,13.40879416
#258,1,UV,0,13.40971162
#970,1,UV,0,13.41154477
#282,1,UV,0,13.41246048
#006,1,UV,0,13.41337561
#281,1,UV,0,13.41337561
#006,1,UV,0,13.41429015
#289,1,UV,0,13.41429015
#974,1,UV,0,13.41520412
#263,1,UV,0,13.41703031
#022,1,UV,0,13.4188542
#009,1,UV,0,13.42067579
#009,1,UV,0,13.42158572
#303,1,UV,0,13.42158572
#303,1,UV,0,13.42158572
#131,1,UV,0,13.42340386
#282,1,UV,0,13.42340386
#289,1,UV,0,13.42431207
#303,1,UV,0,13.42431207
