mouse_id,month,treatment,clade_volume,ln2volume
#970,m3,No UV,11594.99916,13.5012151
#006,m3,No UV,11601.91742,13.50207563
#282,m3,No UV,11629.59045,13.50551267
#289,m3,No UV,11636.5087,13.50637065
#289,m3,No UV,11671.09999,13.51065292
#303,m3,No UV,11678.01825,13.51150785
#317,m3,No UV,11698.77302,13.51406961
#131,m3,No UV,11712.60953,13.51577492
#022,m3,No UV,11719.52779,13.51662682
#009,m3,No UV,11761.03734,13.52172769
#009,m3,No UV,11761.03734,13.52172769
#009,m3,No UV,11774.87385,13.52342398
#006,m3,No UV,11788.71036,13.52511828
#303,m3,No UV,11795.62862,13.52596469
#263,m3,No UV,11837.13817,13.53103271
#022,m3,No UV,11857.89294,13.53356006
#317,m3,No UV,11857.89294,13.53356006
#009,m3,No UV,11899.40248,13.53860151
#022,m3,No UV,11899.40248,13.53860151
#289,m3,No UV,11906.32074,13.53944004
#003,m3,No UV,11933.99377,13.54278931
#003,m3,No UV,11940.91202,13.54362541
#289,m3,No UV,11954.74854,13.54529616
#289,m3,No UV,11968.58505,13.54696498
#006,m3,No UV,11982.42157,13.54863188
#003,m3,No UV,12003.17634,13.55112861
#281,m3,No UV,12003.17634,13.55112861
#003,m3,No UV,12017.01285,13.5527907
#006,m3,No UV,12044.68588,13.55610915
#291,m3,No UV,12044.68588,13.55610915
#289,m3,No UV,12072.35891,13.55941998
#970,m3,No UV,12106.9502,13.56354787
#291,m3,No UV,12141.54148,13.56766398
#006,m3,No UV,12169.21451,13.57094843
#289,m3,No UV,12176.13277,13.57176837
#022,m3,No UV,12196.88754,13.57422542
#289,m3,No UV,12224.56057,13.57749499
#281,m3,No UV,12231.47883,13.57831122
#291,m3,No UV,12266.07012,13.58238548
#263,m3,No UV,12279.90663,13.58401197
#022,m3,No UV,12307.57966,13.58725946
#282,m3,No UV,12328.33443,13.58969028
#022,m3,No UV,12342.17095,13.59130856
#006,m3,No UV,12349.0892,13.59211702
#263,m3,No UV,12390.59875,13.59695828
#317,m3,No UV,12411.35352,13.59937284
#289,m3,No UV,12418.27177,13.60017679
#006,m3,No UV,12432.10829,13.60178335
#022,m3,No UV,12432.10829,13.60178335
#289,m3,No UV,12432.10829,13.60178335
#022,m3,No UV,12439.02655,13.60258597
#263,m3,No UV,12439.02655,13.60258597
#970,m3,No UV,12439.02655,13.60258597
#131,m3,No UV,12473.61783,13.60659234
#317,m3,No UV,12487.45435,13.60819178
#131,m3,No UV,12494.3726,13.60899084
#970,m3,No UV,12494.3726,13.60899084
#009,m3,No UV,12501.29086,13.60978945
#131,m3,No UV,12501.29086,13.60978945
#303,m3,No UV,12501.29086,13.60978945
#291,m3,No UV,12577.39169,13.61854515
#009,m3,No UV,12584.30995,13.61933849
#317,m3,No UV,12584.30995,13.61933849
#291,m3,No UV,12591.22821,13.6201314
#291,m3,No UV,12591.22821,13.6201314
#303,m3,No UV,12598.14646,13.62092387
#974,m3,No UV,12605.06472,13.62171591
#970,m3,No UV,12618.90124,13.62329868
#006,m3,No UV,12681.16555,13.63039973
#022,m3,No UV,12688.08381,13.63118658
#022,m3,No UV,12695.00207,13.63197301
#022,m3,No UV,12695.00207,13.63197301
#263,m3,No UV,12722.67509,13.63511443
#291,m3,No UV,12736.51161,13.63668257
#131,m3,No UV,12791.85767,13.64293817
#022,m3,No UV,12833.36721,13.64761213
#317,m3,No UV,12840.28547,13.64838966
#006,m3,No UV,12867.9585,13.65149557
#289,m3,No UV,12874.87675,13.652271
#970,m3,No UV,12874.87675,13.652271
#289,m3,No UV,12888.71327,13.65382062
#289,m3,No UV,12902.54978,13.65536858
#291,m3,No UV,12902.54978,13.65536858
#291,m3,No UV,12902.54978,13.65536858
#970,m3,No UV,12902.54978,13.65536858
#291,m3,No UV,12916.3863,13.65691487
#131,m3,No UV,12923.30455,13.6576874
#006,m3,No UV,12957.89584,13.66154385
#291,m3,No UV,12957.89584,13.66154385
#006,m3,No UV,12992.48713,13.66539001
#970,m3,No UV,13006.32364,13.66692561
#317,m3,No UV,13027.07841,13.66922595
#303,m3,No UV,13033.99667,13.66999191
#006,m3,No UV,13040.91493,13.67075747
#003,m3,No UV,13054.75144,13.67228737
#003,m3,No UV,13068.58796,13.67381565
#974,m3,No UV,13075.50621,13.67457918
#291,m3,No UV,13089.34273,13.67610503
#303,m3,No UV,13103.17924,13.67762928
#974,m3,No UV,13117.01576,13.67915191
#006,m3,No UV,13123.93402,13.67991262
#003,m3,No UV,13137.77053,13.68143285
#291,m3,No UV,13144.68879,13.68219236
#009,m3,No UV,13151.60704,13.68295148
#009,m3,No UV,13158.5253,13.68371019
#289,m3,No UV,13165.44356,13.68446851
#003,m3,No UV,13206.9531,13.68901005
#131,m3,No UV,13206.9531,13.68901005
#289,m3,No UV,13206.9531,13.68901005
#303,m3,No UV,13234.62613,13.69202982
#317,m3,No UV,13248.46265,13.69353734
#303,m3,No UV,13289.97219,13.69805047
#291,m3,No UV,13345.31825,13.70404609
#974,m3,No UV,13345.31825,13.70404609
#022,m3,No UV,13366.07302,13.70628804
#291,m3,No UV,13379.90953,13.70778074
#289,m3,No UV,13386.82779,13.70852651
#970,m3,No UV,13393.74605,13.7092719
#022,m3,No UV,13442.17385,13.71447885
#263,m3,No UV,13462.92862,13.71670466
#009,m3,No UV,13483.68339,13.71892704
#263,m3,No UV,13483.68339,13.71892704
#289,m3,No UV,13483.68339,13.71892704
#317,m3,No UV,13497.51991,13.72040672
#022,m3,No UV,13525.19294,13.72336155
#131,m3,No UV,13525.19294,13.72336155
#131,m3,No UV,13539.02945,13.7248367
#289,m3,No UV,13566.70248,13.72778248
#263,m3,No UV,13580.53899,13.72925312
#291,m3,No UV,13587.45725,13.72998788
#009,m3,No UV,13608.21202,13.7321899
#022,m3,No UV,13615.13028,13.73292317
#974,m3,No UV,13628.96679,13.73438858
#003,m3,No UV,13635.88505,13.73512072
#291,m3,No UV,13649.72157,13.7365839
#006,m3,No UV,13670.47634,13.73877589
#282,m3,No UV,13684.31285,13.74023537
#003,m3,No UV,13718.90414,13.74387762
#003,m3,No UV,13718.90414,13.74387762
#263,m3,No UV,13718.90414,13.74387762
#317,m3,No UV,13718.90414,13.74387762
#974,m3,No UV,13753.49543,13.7475107
#303,m3,No UV,13781.16845,13.75041059
#003,m3,No UV,13788.08671,13.75113466
#317,m3,No UV,13815.75974,13.75402728
#974,m3,No UV,13829.59626,13.75547142
#289,m3,No UV,13836.51451,13.75619295
#974,m3,No UV,13836.51451,13.75619295
#317,m3,No UV,13850.35103,13.75763492
#131,m3,No UV,13857.26928,13.75835537
#131,m3,No UV,13871.1058,13.75979518
#282,m3,No UV,13871.1058,13.75979518
#303,m3,No UV,13926.45186,13.76554012
#263,m3,No UV,13947.20663,13.76768858
#003,m3,No UV,13954.12489,13.76840403
#006,m3,No UV,13954.12489,13.76840403
#009,m3,No UV,13954.12489,13.76840403
#263,m3,No UV,13974.87966,13.77054824
#009,m3,No UV,13995.63443,13.77268927
#263,m3,No UV,14023.30746,13.77553903
#006,m3,No UV,14050.98049,13.77838319
#263,m3,No UV,14064.817,13.77980316
#291,m3,No UV,14085.57177,13.78193051
#263,m3,No UV,14092.49003,13.78263893
#291,m3,No UV,14099.40829,13.783347
#291,m3,No UV,14113.2448,13.7847621
#289,m3,No UV,14147.83609,13.78829379
