,mouse_id,month,treatment,structure_volume
14839,#022,m4,UV,13.09988502
17146,#131,m3,UV,13.09988502
19424,#263,m3,UV,13.09988502
22286,#282,m1,UV,13.09988502
23649,#282,m3,UV,13.09988502
24568,#289,m2,UV,13.09988502
6723,#006,m5,UV,13.10102144
9370,#009,m3,UV,13.10102144
15597,#022,m5,UV,13.10102144
17886,#258,m1,UV,13.10102144
30050,#970,m1,UV,13.10102144
22831,#282,m1,UV,13.10215698
28122,#317,m1,UV,13.10215698
34198,#974,m3,UV,13.10215698
23366,#282,m2,UV,13.10329162
24523,#289,m2,UV,13.10329162
31891,#970,m4,UV,13.10329162
9247,#009,m3,UV,13.10442537
19416,#263,m3,UV,13.10442537
28835,#317,m2,UV,13.10782128
14699,#022,m4,UV,13.10895147
14102,#022,m3,UV,13.11008078
21419,#281,m1,UV,13.11008078
22611,#282,m1,UV,13.11008078
22780,#282,m1,UV,13.11008078
270,#003,m1,UV,13.11120921
14098,#022,m3,UV,13.11120921
16064,#131,m4,UV,13.11120921
17882,#258,m1,UV,13.11120921
21832,#281,m2,UV,13.11120921
31992,#970,m4,UV,13.11120921
243,#003,m1,UV,13.11233676
9214,#009,m3,UV,13.11233676
10911,#009,m2,UV,13.11233676
20870,#263,m2,UV,13.11233676
15591,#022,m5,UV,13.11346342
2629,#003,m4,UV,13.11458921
10951,#009,m2,UV,13.11458921
17229,#131,m3,UV,13.11458921
31951,#970,m4,UV,13.11458921
6756,#006,m5,UV,13.11571412
11040,#009,m2,UV,13.11571412
12218,#022,m6,UV,13.11571412
14915,#022,m4,UV,13.11571412
19899,#263,m1,UV,13.11571412
32378,#970,m5,UV,13.11571412
34180,#974,m3,UV,13.11571412
9006,#009,m3,UV,13.11683815
14685,#022,m4,UV,13.11683815
34202,#974,m3,UV,13.11683815
252,#003,m1,UV,13.11796131
363,#003,m1,UV,13.11796131
3633,#003,m6,UV,13.11796131
17772,#258,m1,UV,13.11796131
22276,#282,m1,UV,13.11796131
23247,#282,m2,UV,13.11796131
16556,#131,m1,UV,13.11908359
24954,#289,m3,UV,13.11908359
3571,#003,m6,UV,13.120205
181,#003,m1,UV,13.12132554
14719,#022,m4,UV,13.12132554
23881,#289,m1,UV,13.12132554
6748,#006,m5,UV,13.12244521
24547,#289,m2,UV,13.12244521
28150,#317,m1,UV,13.12244521
32333,#970,m5,UV,13.12244521
255,#003,m1,UV,13.12356401
17574,#258,m1,UV,13.12356401
19508,#263,m3,UV,13.12356401
23924,#289,m1,UV,13.12356401
32816,#974,m1,UV,13.12356401
20108,#263,m1,UV,13.12579902
2771,#003,m4,UV,13.12691522
3739,#003,m6,UV,13.12803056
8958,#009,m3,UV,13.12803056
31455,#970,m3,UV,13.12803056
22702,#282,m1,UV,13.12914504
2164,#003,m3,UV,13.13025866
2725,#003,m4,UV,13.13025866
7726,#009,m1,UV,13.13025866
15333,#022,m5,UV,13.13025866
27022,#303,m1,UV,13.13025866
15619,#022,m5,UV,13.13137143
2047,#003,m3,UV,13.13248333
29841,#970,m1,UV,13.13248333
12827,#022,m1,UV,13.13359438
21751,#281,m1,UV,13.13359438
23269,#282,m2,UV,13.13359438
24069,#289,m1,UV,13.13359438
33557,#974,m2,UV,13.13359438
21535,#281,m1,UV,13.13470457
2046,#003,m3,UV,13.13581391
3169,#003,m5,UV,13.13581391
12566,#022,m1,UV,13.13581391
23917,#289,m1,UV,13.13581391
32317,#970,m5,UV,13.13581391
15646,#022,m5,UV,13.13692239
22083,#281,m3,UV,13.13692239
24093,#289,m1,UV,13.13692239
27415,#303,m2,UV,13.13692239
32724,#974,m1,UV,13.13692239
33735,#974,m2,UV,13.13692239
15560,#022,m5,UV,13.13803003
17969,#258,m1,UV,13.13803003
4091,#006,m1,UV,13.13913682
16968,#131,m2,UV,13.13913682
23150,#282,m2,UV,13.13913682
31453,#970,m3,UV,13.13913682
12615,#022,m1,UV,13.14024275
21526,#281,m1,UV,13.14024275
30903,#970,m2,UV,13.14024275
1181,#003,m2,UV,13.14134784
9302,#009,m3,UV,13.14134784
17014,#131,m2,UV,13.14134784
29260,#317,m3,UV,13.14134784
23671,#282,m3,UV,13.14245209
2726,#003,m4,UV,13.14355549
9969,#009,m4,UV,13.14355549
13537,#022,m2,UV,13.14355549
22091,#281,m3,UV,13.14355549
31431,#970,m3,UV,13.14355549
14753,#022,m4,UV,13.14465804
4935,#006,m2,UV,13.14686063
28234,#317,m1,UV,13.14686063
1135,#003,m2,UV,13.14905986
3208,#003,m5,UV,13.14905986
11032,#009,m2,UV,13.14905986
30994,#970,m2,UV,13.15015822
7722,#009,m1,UV,13.15125575
14866,#022,m4,UV,13.15125575
21447,#281,m1,UV,13.15125575
34196,#974,m3,UV,13.15125575
22782,#282,m1,UV,13.15235244
25316,#291,m1,UV,13.15235244
26731,#303,m1,UV,13.15235244
19461,#263,m3,UV,13.15344829
23670,#282,m3,UV,13.15344829
1019,#003,m2,UV,13.15454332
2896,#003,m4,UV,13.15454332
8935,#009,m3,UV,13.15454332
9010,#009,m3,UV,13.15454332
11137,#009,m2,UV,13.15454332
12759,#022,m1,UV,13.15454332
19472,#263,m3,UV,13.15454332
27769,#303,m3,UV,13.15454332
32923,#974,m1,UV,13.15454332
33620,#974,m2,UV,13.15563751
375,#003,m1,UV,13.15673088
5710,#006,m3,UV,13.15673088
19397,#263,m3,UV,13.15673088
19906,#263,m1,UV,13.15673088
23407,#282,m2,UV,13.15673088
27456,#303,m2,UV,13.15673088
5213,#006,m2,UV,13.15782341
17605,#258,m1,UV,13.15782341
14666,#022,m4,UV,13.16000601
17566,#258,m1,UV,13.16000601
22700,#282,m1,UV,13.16000601
6746,#006,m5,UV,13.16109607
16579,#131,m1,UV,13.16109607
17771,#258,m1,UV,13.16109607
31015,#970,m2,UV,13.16109607
32920,#974,m1,UV,13.16109607
3648,#003,m6,UV,13.16218531
4321,#006,m1,UV,13.16218531
7295,#006,m6,UV,13.16218531
17528,#258,m1,UV,13.16218531
24125,#289,m1,UV,13.16218531
31494,#970,m3,UV,13.16218531
34183,#974,m3,UV,13.16218531
3290,#003,m5,UV,13.16327372
17104,#131,m2,UV,13.16327372
24894,#289,m3,UV,13.16327372
24923,#289,m3,UV,13.16327372
7168,#006,m6,UV,13.16436132
9377,#009,m3,UV,13.16436132
25346,#291,m1,UV,13.16436132
6274,#006,m4,UV,13.16544809
11927,#022,m6,UV,13.16544809
22605,#282,m1,UV,13.16544809
26709,#303,m1,UV,13.16544809
4927,#006,m2,UV,13.16653405
16061,#131,m4,UV,13.16653405
22280,#282,m1,UV,13.16870352
23428,#282,m2,UV,13.16870352
1143,#003,m2,UV,13.16978703
4954,#006,m2,UV,13.16978703
9375,#009,m3,UV,13.16978703
22422,#282,m1,UV,13.17086973
23995,#289,m1,UV,13.17086973
26773,#303,m1,UV,13.17086973
20886,#263,m2,UV,13.17195161
1452,#003,m2,UV,13.17303269
14696,#022,m4,UV,13.17411295
17970,#258,m1,UV,13.17411295
23287,#282,m2,UV,13.17411295
34090,#974,m3,UV,13.17411295
2850,#003,m4,UV,13.17519241
14700,#022,m4,UV,13.17519241
19412,#263,m3,UV,13.17519241
30654,#970,m6,UV,13.17519241
24839,#289,m3,UV,13.17627106
6218,#006,m4,UV,13.17734891
29640,#970,m1,UV,13.17734891
5176,#006,m2,UV,13.17842595
5700,#006,m3,UV,13.17950218
14921,#022,m4,UV,13.17950218
16444,#131,m1,UV,13.17950218
33697,#974,m2,UV,13.17950218
26834,#303,m1,UV,13.18057762
4376,#006,m1,UV,13.18165225
7362,#006,m6,UV,13.18165225
11150,#009,m2,UV,13.18165225
30688,#970,m6,UV,13.18165225
4319,#006,m1,UV,13.18379912
6631,#006,m5,UV,13.18379912
20110,#263,m1,UV,13.18379912
27028,#303,m1,UV,13.18379912
2682,#003,m4,UV,13.18487136
14172,#022,m3,UV,13.18487136
22825,#282,m1,UV,13.18487136
6055,#006,m4,UV,13.1859428
6655,#006,m5,UV,13.1859428
10188,#009,m4,UV,13.18701344
2065,#003,m3,UV,13.18808329
14056,#022,m3,UV,13.18808329
3742,#003,m6,UV,13.18915235
25308,#291,m1,UV,13.18915235
17236,#131,m3,UV,13.19022062
7784,#009,m1,UV,13.1912881
7926,#009,m1,UV,13.1912881
24139,#289,m1,UV,13.1912881
1190,#003,m2,UV,13.19235479
3740,#003,m6,UV,13.19235479
11141,#009,m2,UV,13.19235479
19935,#263,m1,UV,13.19342069
15623,#022,m5,UV,13.1944858
31938,#970,m4,UV,13.1944858
258,#003,m1,UV,13.19555012
179,#003,m1,UV,13.19661367
3795,#003,m6,UV,13.19661367
9215,#009,m3,UV,13.19661367
17576,#258,m1,UV,13.19767643
2628,#003,m4,UV,13.1987384
11999,#022,m6,UV,13.1987384
14791,#022,m4,UV,13.1987384
314,#003,m1,UV,13.1997996
22598,#282,m1,UV,13.1997996
30619,#970,m6,UV,13.1997996
16519,#131,m1,UV,13.20191965
16522,#131,m1,UV,13.20191965
20866,#263,m2,UV,13.20191965
24150,#289,m1,UV,13.20191965
26837,#303,m1,UV,13.20191965
9163,#009,m3,UV,13.20297851
10975,#009,m2,UV,13.20297851
22701,#282,m1,UV,13.20297851
23918,#289,m1,UV,13.20297851
34243,#974,m3,UV,13.20297851
6269,#006,m4,UV,13.20403659
20892,#263,m2,UV,13.20403659
26715,#303,m1,UV,13.20403659
31857,#970,m4,UV,13.20403659
311,#003,m1,UV,13.2050939
5135,#006,m2,UV,13.2050939
16562,#131,m1,UV,13.2050939
359,#003,m1,UV,13.20615043
5058,#006,m2,UV,13.20615043
9348,#009,m3,UV,13.20615043
25746,#291,m2,UV,13.20615043
26812,#303,m1,UV,13.20615043
11135,#009,m2,UV,13.20720619
15464,#022,m5,UV,13.20720619
27759,#303,m3,UV,13.20826118
14668,#022,m4,UV,13.20931539
9841,#009,m4,UV,13.21036884
13566,#022,m2,UV,13.21142152
17579,#258,m1,UV,13.21142152
18926,#258,m2,UV,13.21142152
24930,#289,m3,UV,13.21142152
29280,#317,m3,UV,13.21142152
32951,#974,m1,UV,13.21142152
31587,#970,m3,UV,13.21247343
31983,#970,m4,UV,13.21247343
6107,#006,m4,UV,13.21352457
17272,#131,m3,UV,13.21352457
21047,#263,m2,UV,13.21457495
30645,#970,m6,UV,13.21457495
3582,#003,m6,UV,13.21562456
10140,#009,m4,UV,13.21562456
7215,#006,m6,UV,13.21667342
21902,#281,m2,UV,13.21667342
22656,#282,m1,UV,13.21667342
29255,#317,m3,UV,13.21667342
3586,#003,m6,UV,13.21772151
10234,#009,m4,UV,13.21772151
17965,#258,m1,UV,13.21876883
28197,#317,m1,UV,13.21876883
34175,#974,m3,UV,13.21876883
17881,#258,m1,UV,13.2198154
26911,#303,m1,UV,13.2198154
4273,#006,m1,UV,13.22086121
5060,#006,m2,UV,13.22086121
8198,#009,m1,UV,13.22086121
8897,#009,m3,UV,13.22086121
13338,#022,m2,UV,13.22086121
17767,#258,m1,UV,13.22086121
25742,#291,m2,UV,13.22086121
16549,#131,m1,UV,13.2239941
30598,#970,m6,UV,13.2239941
33738,#974,m2,UV,13.2239941
6605,#006,m5,UV,13.22607892
16974,#131,m2,UV,13.22607892
17903,#258,m1,UV,13.22607892
18878,#258,m2,UV,13.22607892
9977,#009,m4,UV,13.2271202
12660,#022,m1,UV,13.22816073
14826,#022,m4,UV,13.22920051
18988,#258,m2,UV,13.22920051
20152,#263,m1,UV,13.22920051
10857,#009,m2,UV,13.23023955
13435,#022,m2,UV,13.23023955
6040,#006,m4,UV,13.23127783
15489,#022,m5,UV,13.23127783
31404,#970,m3,UV,13.23127783
17774,#258,m1,UV,13.23231537
22285,#282,m1,UV,13.23231537
3201,#003,m5,UV,13.23335216
23920,#289,m1,UV,13.23335216
26169,#291,m3,UV,13.23335216
2783,#003,m4,UV,13.2343882
4208,#006,m1,UV,13.2343882
17179,#131,m3,UV,13.2343882
17239,#131,m3,UV,13.2343882
32062,#970,m4,UV,13.2343882
23669,#282,m3,UV,13.23542351
7251,#006,m6,UV,13.23645807
32911,#974,m1,UV,13.23645807
33631,#974,m2,UV,13.23645807
4136,#006,m1,UV,13.23749189
19965,#263,m1,UV,13.23749189
18033,#258,m1,UV,13.23852497
18880,#258,m2,UV,13.23852497
2229,#003,m3,UV,13.23955731
14829,#022,m4,UV,13.23955731
18900,#258,m2,UV,13.24058891
23632,#282,m3,UV,13.24058891
1020,#003,m2,UV,13.24161977
7852,#009,m1,UV,13.24161977
17845,#258,m1,UV,13.24161977
31378,#970,m3,UV,13.24161977
8102,#009,m1,UV,13.2426499
18807,#258,m2,UV,13.2426499
18974,#258,m2,UV,13.2436793
6776,#006,m5,UV,13.24470796
9046,#009,m3,UV,13.24470796
13368,#022,m2,UV,13.24470796
23652,#282,m3,UV,13.24470796
32906,#974,m1,UV,13.24470796
33660,#974,m2,UV,13.24470796
2055,#003,m3,UV,13.24573588
25311,#291,m1,UV,13.24573588
9344,#009,m3,UV,13.24676308
13509,#022,m2,UV,13.24676308
14188,#022,m3,UV,13.24676308
25340,#291,m1,UV,13.24676308
12695,#022,m1,UV,13.24778954
20006,#263,m1,UV,13.25086456
30013,#970,m1,UV,13.25086456
15535,#022,m5,UV,13.25188811
24145,#289,m1,UV,13.25188811
34087,#974,m3,UV,13.25188811
3172,#003,m5,UV,13.25291093
3587,#003,m6,UV,13.25291093
4098,#006,m1,UV,13.25291093
1349,#003,m2,UV,13.25393303
2286,#003,m3,UV,13.25393303
3736,#003,m6,UV,13.25393303
20104,#263,m1,UV,13.25393303
27773,#303,m3,UV,13.25393303
33532,#974,m2,UV,13.25393303
7136,#006,m6,UV,13.25495441
9897,#009,m4,UV,13.25495441
12107,#022,m6,UV,13.25495441
21443,#281,m1,UV,13.25495441
29933,#970,m1,UV,13.25495441
23654,#282,m3,UV,13.25597507
29699,#970,m1,UV,13.25597507
12840,#022,m1,UV,13.256995
21738,#281,m1,UV,13.25801421
17144,#131,m3,UV,13.2590327
30655,#970,m6,UV,13.2590327
31985,#970,m4,UV,13.26005048
7945,#009,m1,UV,13.26106754
11077,#009,m2,UV,13.26106754
6700,#006,m5,UV,13.26208388
19455,#263,m3,UV,13.26208388
31369,#970,m3,UV,13.26208388
9165,#009,m3,UV,13.2630995
29881,#970,m1,UV,13.2630995
25344,#291,m1,UV,13.26411441
23682,#282,m3,UV,13.26512861
30677,#970,m6,UV,13.26512861
30710,#970,m6,UV,13.26512861
14066,#022,m3,UV,13.26614209
10866,#009,m2,UV,13.26715487
33535,#974,m2,UV,13.26816693
4922,#006,m2,UV,13.26917828
6097,#006,m4,UV,13.26917828
28809,#317,m2,UV,13.26917828
16103,#131,m4,UV,13.27018893
6730,#006,m5,UV,13.27119886
24883,#289,m3,UV,13.27119886
142,#003,m1,UV,13.27220809
13541,#022,m2,UV,13.27220809
23852,#289,m1,UV,13.27220809
27877,#303,m3,UV,13.27220809
31495,#970,m3,UV,13.27220809
7394,#006,m6,UV,13.27321662
30066,#970,m1,UV,13.27321662
9945,#009,m4,UV,13.27422444
16690,#131,m1,UV,13.27422444
22128,#281,m3,UV,13.27422444
32395,#970,m5,UV,13.27623797
32748,#974,m1,UV,13.27623797
2023,#003,m3,UV,13.27724368
10145,#009,m4,UV,13.27724368
12842,#022,m1,UV,13.27724368
32892,#974,m1,UV,13.27724368
12173,#022,m6,UV,13.2782487
13551,#022,m2,UV,13.2782487
29649,#970,m1,UV,13.2782487
4389,#006,m1,UV,13.27925301
11142,#009,m2,UV,13.27925301
14115,#022,m3,UV,13.27925301
245,#003,m1,UV,13.28025662
21868,#281,m2,UV,13.28025662
12658,#022,m1,UV,13.28226176
16521,#131,m1,UV,13.28226176
19002,#258,m2,UV,13.28326328
21444,#281,m1,UV,13.28326328
22291,#282,m1,UV,13.28326328
27439,#303,m2,UV,13.28326328
29887,#970,m1,UV,13.28326328
6293,#006,m4,UV,13.28426411
12704,#022,m1,UV,13.28426411
14266,#022,m3,UV,13.28426411
20154,#263,m1,UV,13.28426411
20934,#263,m2,UV,13.28426411
32737,#974,m1,UV,13.28526425
2693,#003,m4,UV,13.28626369
5255,#006,m2,UV,13.28626369
259,#003,m1,UV,13.28925787
9212,#009,m3,UV,13.28925787
12064,#022,m6,UV,13.28925787
4934,#006,m2,UV,13.29025455
8915,#009,m3,UV,13.29025455
29707,#970,m1,UV,13.29125054
2215,#003,m3,UV,13.29224585
23156,#282,m2,UV,13.29224585
31980,#970,m4,UV,13.29224585
16443,#131,m1,UV,13.29324047
26866,#303,m1,UV,13.2942344
33802,#974,m2,UV,13.2942344
9812,#009,m4,UV,13.29522765
18928,#258,m2,UV,13.29522765
19427,#263,m3,UV,13.29522765
32890,#974,m1,UV,13.29522765
34186,#974,m3,UV,13.29522765
3675,#003,m6,UV,13.29622022
4342,#006,m1,UV,13.29622022
6275,#006,m4,UV,13.29622022
2216,#003,m3,UV,13.2972121
14842,#022,m4,UV,13.2972121
21474,#281,m1,UV,13.2972121
16515,#131,m1,UV,13.2982033
18871,#258,m2,UV,13.2982033
22305,#282,m1,UV,13.2982033
6041,#006,m4,UV,13.30018367
9885,#009,m4,UV,13.30018367
9983,#009,m4,UV,13.30018367
14101,#022,m3,UV,13.30018367
17624,#258,m1,UV,13.30018367
18952,#258,m2,UV,13.30018367
31406,#970,m3,UV,13.30018367
29240,#317,m3,UV,13.30117283
31856,#970,m4,UV,13.30117283
76,#003,m1,UV,13.30216131
11247,#009,m2,UV,13.30216131
9898,#009,m4,UV,13.30314912
24487,#289,m2,UV,13.30314912
29782,#970,m1,UV,13.30314912
395,#003,m1,UV,13.30413626
2692,#003,m4,UV,13.30413626
2719,#003,m4,UV,13.30512272
21496,#281,m1,UV,13.30512272
23216,#282,m2,UV,13.30512272
31417,#970,m3,UV,13.30512272
32908,#974,m1,UV,13.30512272
10853,#009,m2,UV,13.3061085
17128,#131,m3,UV,13.3061085
12887,#022,m1,UV,13.30709361
20081,#263,m1,UV,13.30807805
22485,#282,m1,UV,13.30807805
2741,#003,m4,UV,13.30906182
6159,#006,m4,UV,13.31004491
26899,#303,m1,UV,13.31004491
31997,#970,m4,UV,13.31004491
3570,#003,m6,UV,13.31102734
22690,#282,m1,UV,13.31102734
10956,#009,m2,UV,13.3120091
14660,#022,m4,UV,13.3120091
18982,#258,m2,UV,13.3120091
3192,#003,m5,UV,13.31299019
8947,#009,m3,UV,13.31299019
6076,#006,m4,UV,13.31397062
226,#003,m1,UV,13.31495038
8963,#009,m3,UV,13.31495038
10831,#009,m2,UV,13.31495038
31422,#970,m3,UV,13.31495038
9909,#009,m4,UV,13.31592947
31511,#970,m3,UV,13.31592947
23926,#289,m1,UV,13.3169079
3738,#003,m6,UV,13.31886277
16495,#131,m1,UV,13.31886277
22495,#282,m1,UV,13.31886277
26024,#291,m3,UV,13.31886277
9181,#009,m3,UV,13.31983921
34189,#974,m3,UV,13.31983921
13464,#022,m2,UV,13.320815
20034,#263,m1,UV,13.320815
8074,#009,m1,UV,13.32179012
28905,#317,m2,UV,13.32179012
20153,#263,m1,UV,13.32276459
22424,#282,m1,UV,13.32276459
4083,#006,m1,UV,13.32373839
6779,#006,m5,UV,13.32373839
17083,#131,m2,UV,13.32373839
29705,#970,m1,UV,13.32373839
3669,#003,m6,UV,13.32568404
