,mouse_id,month,treatment,structure_volume,distribution_volume
339,#022,m5,UV,13.13803003,0.020516534
340,#258,m1,UV,13.13803003,0.020516534
341,#006,m1,UV,13.13913682,0.020757905
342,#131,m2,UV,13.13913682,0.020757905
343,#282,m2,UV,13.13913682,0.020757905
344,#970,m3,UV,13.13913682,0.020757905
345,#022,m1,UV,13.14024275,0.020938933
346,#281,m1,UV,13.14024275,0.020938933
347,#970,m2,UV,13.14024275,0.020938933
348,#003,m2,UV,13.14134784,0.021180304
349,#009,m3,UV,13.14134784,0.021180304
350,#131,m2,UV,13.14134784,0.021180304
351,#317,m3,UV,13.14134784,0.021180304
352,#282,m3,UV,13.14245209,0.021240647
353,#003,m4,UV,13.14355549,0.021542361
354,#009,m4,UV,13.14355549,0.021542361
355,#022,m2,UV,13.14355549,0.021542361
356,#281,m3,UV,13.14355549,0.021542361
357,#970,m3,UV,13.14355549,0.021542361
358,#022,m4,UV,13.14465804,0.021602703
359,#006,m2,UV,13.14686063,0.021723389
360,#317,m1,UV,13.14686063,0.021723389
361,#003,m2,UV,13.14905986,0.021904417
362,#003,m5,UV,13.14905986,0.021904417
363,#009,m2,UV,13.14905986,0.021904417
364,#970,m2,UV,13.15015822,0.02196476
365,#009,m1,UV,13.15125575,0.022206131
366,#022,m4,UV,13.15125575,0.022206131
367,#281,m1,UV,13.15125575,0.022206131
368,#974,m3,UV,13.15125575,0.022206131
369,#282,m1,UV,13.15235244,0.022387159
370,#291,m1,UV,13.15235244,0.022387159
371,#303,m1,UV,13.15235244,0.022387159
372,#263,m3,UV,13.15344829,0.022507845
373,#282,m3,UV,13.15344829,0.022507845
374,#003,m2,UV,13.15454332,0.023050929
375,#003,m4,UV,13.15454332,0.023050929
376,#009,m3,UV,13.15454332,0.023050929
377,#009,m3,UV,13.15454332,0.023050929
378,#009,m2,UV,13.15454332,0.023050929
379,#022,m1,UV,13.15454332,0.023050929
380,#263,m3,UV,13.15454332,0.023050929
381,#303,m3,UV,13.15454332,0.023050929
382,#974,m1,UV,13.15454332,0.023050929
383,#974,m2,UV,13.15563751,0.023111272
384,#003,m1,UV,13.15673088,0.023473329
385,#006,m3,UV,13.15673088,0.023473329
386,#263,m3,UV,13.15673088,0.023473329
387,#263,m1,UV,13.15673088,0.023473329
388,#282,m2,UV,13.15673088,0.023473329
389,#303,m2,UV,13.15673088,0.023473329
390,#006,m2,UV,13.15782341,0.023594014
391,#258,m1,UV,13.15782341,0.023594014
392,#022,m4,UV,13.16000601,0.023775042
393,#258,m1,UV,13.16000601,0.023775042
394,#282,m1,UV,13.16000601,0.023775042
395,#006,m5,UV,13.16109607,0.024076756
396,#131,m1,UV,13.16109607,0.024076756
397,#258,m1,UV,13.16109607,0.024076756
398,#970,m2,UV,13.16109607,0.024076756
399,#974,m1,UV,13.16109607,0.024076756
400,#003,m6,UV,13.16218531,0.024499155
401,#006,m1,UV,13.16218531,0.024499155
402,#006,m6,UV,13.16218531,0.024499155
403,#258,m1,UV,13.16218531,0.024499155
404,#289,m1,UV,13.16218531,0.024499155
405,#970,m3,UV,13.16218531,0.024499155
406,#974,m3,UV,13.16218531,0.024499155
407,#003,m5,UV,13.16327372,0.024740526
408,#131,m2,UV,13.16327372,0.024740526
409,#289,m3,UV,13.16327372,0.024740526
410,#289,m3,UV,13.16327372,0.024740526
411,#006,m6,UV,13.16436132,0.024921554
412,#009,m3,UV,13.16436132,0.024921554
413,#291,m1,UV,13.16436132,0.024921554
414,#006,m4,UV,13.16544809,0.025162925
415,#022,m6,UV,13.16544809,0.025162925
416,#282,m1,UV,13.16544809,0.025162925
417,#303,m1,UV,13.16544809,0.025162925
418,#006,m2,UV,13.16653405,0.025283611
419,#131,m4,UV,13.16653405,0.025283611
420,#282,m1,UV,13.16870352,0.025404296
421,#282,m2,UV,13.16870352,0.025404296
422,#003,m2,UV,13.16978703,0.025585325
423,#006,m2,UV,13.16978703,0.025585325
424,#009,m3,UV,13.16978703,0.025585325
425,#282,m1,UV,13.17086973,0.025766353
426,#289,m1,UV,13.17086973,0.025766353
427,#303,m1,UV,13.17086973,0.025766353
428,#263,m2,UV,13.17195161,0.025826696
429,#003,m2,UV,13.17303269,0.025887038
430,#022,m4,UV,13.17411295,0.026128409
431,#258,m1,UV,13.17411295,0.026128409
432,#282,m2,UV,13.17411295,0.026128409
433,#974,m3,UV,13.17411295,0.026128409
434,#003,m4,UV,13.17519241,0.02636978
435,#022,m4,UV,13.17519241,0.02636978
436,#263,m3,UV,13.17519241,0.02636978
437,#970,m6,UV,13.17519241,0.02636978
438,#289,m3,UV,13.17627106,0.026430123
439,#006,m4,UV,13.17734891,0.026550809
440,#970,m1,UV,13.17734891,0.026550809
441,#006,m2,UV,13.17842595,0.026611151
442,#006,m3,UV,13.17950218,0.026852522
443,#022,m4,UV,13.17950218,0.026852522
444,#131,m1,UV,13.17950218,0.026852522
445,#974,m2,UV,13.17950218,0.026852522
446,#303,m1,UV,13.18057762,0.026912865
447,#006,m1,UV,13.18165225,0.027154236
448,#006,m6,UV,13.18165225,0.027154236
449,#009,m2,UV,13.18165225,0.027154236
450,#970,m6,UV,13.18165225,0.027154236
451,#006,m1,UV,13.18379912,0.027395607
452,#006,m5,UV,13.18379912,0.027395607
453,#263,m1,UV,13.18379912,0.027395607
454,#303,m1,UV,13.18379912,0.027395607
455,#003,m4,UV,13.18487136,0.027576635
456,#022,m3,UV,13.18487136,0.027576635
457,#282,m1,UV,13.18487136,0.027576635
458,#006,m4,UV,13.1859428,0.027697321
459,#006,m5,UV,13.1859428,0.027697321
460,#009,m4,UV,13.18701344,0.027757664
461,#003,m3,UV,13.18808329,0.027878349
462,#022,m3,UV,13.18808329,0.027878349
463,#003,m6,UV,13.18915235,0.027999035
464,#291,m1,UV,13.18915235,0.027999035
465,#131,m3,UV,13.19022062,0.028059377
466,#009,m1,UV,13.1912881,0.028240406
467,#009,m1,UV,13.1912881,0.028240406
468,#289,m1,UV,13.1912881,0.028240406
469,#003,m2,UV,13.19235479,0.028421434
470,#003,m6,UV,13.19235479,0.028421434
471,#009,m2,UV,13.19235479,0.028421434
472,#263,m1,UV,13.19342069,0.028481776
473,#022,m5,UV,13.1944858,0.028602462
474,#970,m4,UV,13.1944858,0.028602462
475,#003,m1,UV,13.19555012,0.028662805
476,#003,m1,UV,13.19661367,0.028843833
477,#003,m6,UV,13.19661367,0.028843833
478,#009,m3,UV,13.19661367,0.028843833
479,#258,m1,UV,13.19767643,0.028904176
480,#003,m4,UV,13.1987384,0.029085204
481,#022,m6,UV,13.1987384,0.029085204
482,#022,m4,UV,13.1987384,0.029085204
483,#003,m1,UV,13.1997996,0.029266232
484,#282,m1,UV,13.1997996,0.029266232
485,#970,m6,UV,13.1997996,0.029266232
486,#131,m1,UV,13.20191965,0.029567946
487,#131,m1,UV,13.20191965,0.029567946
488,#263,m2,UV,13.20191965,0.029567946
489,#289,m1,UV,13.20191965,0.029567946
490,#303,m1,UV,13.20191965,0.029567946
491,#009,m3,UV,13.20297851,0.02986966
492,#009,m2,UV,13.20297851,0.02986966
493,#282,m1,UV,13.20297851,0.02986966
494,#289,m1,UV,13.20297851,0.02986966
495,#974,m3,UV,13.20297851,0.02986966
496,#006,m4,UV,13.20403659,0.030111031
497,#263,m2,UV,13.20403659,0.030111031
498,#303,m1,UV,13.20403659,0.030111031
499,#970,m4,UV,13.20403659,0.030111031
500,#003,m1,UV,13.2050939,0.030292059
501,#006,m2,UV,13.2050939,0.030292059
502,#131,m1,UV,13.2050939,0.030292059
