"","mouse_id","month","treatment","clade_volume","ln2volume"
"903","#003","m6","UV",695513.1567,19.40771828
"904","#022","m6","UV",702050.9098,19.42121613
"905","#006","m6","UV",709225.1426,19.43588416
"906","#022","m6","UV",719913.8501,19.45746475
"907","#022","m6","UV",725137.1343,19.46789433
"908","#003","m6","UV",733494.389,19.4844264
"909","#970","m6","UV",740253.5264,19.49765993
"910","#970","m6","UV",747842.8546,19.51237562
"911","#022","m6","UV",752007.6455,19.5203878
"912","#003","m6","UV",764585.0372,19.54431744
"913","#022","m6","UV",766307.6832,19.54756425
"914","#022","m6","UV",769213.3513,19.55302428
"915","#003","m6","UV",779051.1131,19.57135846
"916","#022","m6","UV",785319.0542,19.58291938
"917","#003","m6","UV",788992.6488,19.58965233
"918","#006","m6","UV",799992.6778,19.60962727
"919","#006","m6","UV",805008.4143,19.61864434
"920","#022","m6","UV",835165.0977,19.6717019
"921","#006","m6","UV",835898.4329,19.67296813
"922","#022","m6","UV",836576.4222,19.67413781
"923","#003","m6","UV",837980.8284,19.67655771
"924","#006","m6","UV",843169.5213,19.68546319
"925","#003","m6","UV",853187.1578,19.70250272
"926","#022","m6","UV",870953.2425,19.73223574
"927","#022","m6","UV",881095.4076,19.74893872
"928","#003","m6","UV",907211.8287,19.79107993
"929","#003","m6","UV",916662.1682,19.80603061
"930","#022","m6","UV",937707.5067,19.83877846
"931","#003","m6","UV",960081.1507,19.87279683
"932","#003","m6","UV",977715.7884,19.89905562
"933","#003","m6","UV",980358.5627,19.90294998
"934","#003","m6","UV",993613.9436,19.92232589
"935","#003","m6","UV",995855.459,19.92557684
"936","#003","m6","UV",996332.8187,19.92626822
"937","#022","m6","UV",1000566.792,19.93238605
"938","#006","m6","UV",1009864.93,19.94573091
"939","#003","m6","UV",1024033.521,19.96583151
"940","#970","m6","UV",1048648.68,20.00009999
"941","#003","m6","UV",1057158.137,20.01175977
"942","#022","m6","UV",1074896.548,20.03576639
"943","#003","m6","UV",1098148.811,20.06664214
"944","#006","m6","UV",1104631.218,20.07513337
"945","#003","m6","UV",1111929.979,20.08463451
"946","#022","m6","UV",1152865.307,20.13679254
"947","#970","m6","UV",1163166.592,20.14962631
"948","#006","m6","UV",1168016.291,20.15562897
"949","#003","m6","UV",1197100.644,20.19111302
"950","#006","m6","UV",1208709.48,20.2050361
"951","#003","m6","UV",1234694.454,20.23572264
"952","#970","m6","UV",1268351.776,20.2745235
"953","#022","m6","UV",1280963.759,20.28879823
"954","#003","m6","UV",1312365.728,20.32373839
"955","#003","m6","UV",1314960.075,20.32658757
"956","#003","m6","UV",1328485.268,20.3413508
"957","#003","m6","UV",1338150.073,20.35180849
"958","#022","m6","UV",1367684.113,20.38330363
"959","#022","m6","UV",1409138.311,20.42638179
"960","#022","m6","UV",1473471.185,20.49078742
