,mouse_id,month,treatment,structure_volume
9936,#303,m1,No UV,13.05015193
5249,#258,m1,No UV,13.0513282
10811,#317,m1,No UV,13.05250351
560,#003,m1,No UV,13.05367786
2921,#009,m1,No UV,13.05367786
12265,#974,m1,No UV,13.05367786
9324,#291,m1,No UV,13.05602371
4083,#131,m1,No UV,13.05953534
3997,#022,m1,No UV,13.06070399
12425,#974,m1,No UV,13.06187169
11410,#970,m1,No UV,13.06536913
502,#003,m1,No UV,13.06653307
1678,#006,m1,No UV,13.06769606
2941,#009,m1,No UV,13.06885812
3091,#009,m1,No UV,13.06885812
1857,#006,m1,No UV,13.07001924
8913,#289,m1,No UV,13.07001924
12297,#974,m1,No UV,13.07001924
3775,#022,m1,No UV,13.07117943
2762,#009,m1,No UV,13.07233869
10530,#317,m1,No UV,13.07233869
11689,#970,m1,No UV,13.07233869
12252,#974,m1,No UV,13.07349701
8874,#289,m1,No UV,13.07465441
12430,#974,m1,No UV,13.07465441
9167,#291,m1,No UV,13.07812104
6373,#263,m1,No UV,13.07927474
6597,#263,m1,No UV,13.08042751
9249,#291,m1,No UV,13.08042751
6698,#263,m1,No UV,13.08157936
11405,#970,m1,No UV,13.08388031
534,#003,m1,No UV,13.08502941
1666,#006,m1,No UV,13.08502941
9157,#291,m1,No UV,13.08502941
12666,#974,m1,No UV,13.08502941
6776,#263,m1,No UV,13.0861776
12659,#974,m1,No UV,13.0861776
3210,#009,m1,No UV,13.08732487
3947,#022,m1,No UV,13.08732487
9997,#303,m1,No UV,13.08732487
3883,#022,m1,No UV,13.08847123
8132,#282,m1,No UV,13.08847123
8830,#289,m1,No UV,13.08847123
654,#003,m1,No UV,13.08961668
1822,#006,m1,No UV,13.08961668
10802,#317,m1,No UV,13.08961668
2621,#009,m1,No UV,13.09076122
2684,#009,m1,No UV,13.09076122
10388,#317,m1,No UV,13.09076122
10641,#317,m1,No UV,13.09190486
8679,#289,m1,No UV,13.09418941
11633,#970,m1,No UV,13.09418941
12475,#974,m1,No UV,13.09647035
722,#003,m1,No UV,13.09760947
3829,#022,m1,No UV,13.09760947
3813,#022,m1,No UV,13.09988502
996,#003,m1,No UV,13.10102144
3860,#022,m1,No UV,13.10102144
919,#003,m1,No UV,13.10215698
6844,#263,m1,No UV,13.10215698
8099,#282,m1,No UV,13.10329162
5681,#258,m1,No UV,13.10555822
12466,#974,m1,No UV,13.10555822
2948,#009,m1,No UV,13.10669019
8661,#289,m1,No UV,13.10669019
11482,#970,m1,No UV,13.10669019
11553,#970,m1,No UV,13.10669019
1618,#006,m1,No UV,13.10895147
10077,#303,m1,No UV,13.10895147
5191,#258,m1,No UV,13.11008078
11370,#970,m1,No UV,13.11120921
12603,#974,m1,No UV,13.11233676
8201,#282,m1,No UV,13.11346342
8676,#289,m1,No UV,13.11571412
8658,#289,m1,No UV,13.11683815
570,#003,m1,No UV,13.11908359
760,#003,m1,No UV,13.120205
5620,#258,m1,No UV,13.120205
1515,#006,m1,No UV,13.12132554
4142,#131,m1,No UV,13.12132554
11785,#970,m1,No UV,13.12132554
918,#003,m1,No UV,13.12244521
5715,#258,m1,No UV,13.12356401
2747,#009,m1,No UV,13.12468195
11407,#970,m1,No UV,13.12468195
12676,#974,m1,No UV,13.12691522
4060,#131,m1,No UV,13.12914504
1507,#006,m1,No UV,13.13025866
1614,#006,m1,No UV,13.13025866
11464,#970,m1,No UV,13.13025866
7990,#282,m1,No UV,13.13137143
1577,#006,m1,No UV,13.13248333
3994,#022,m1,No UV,13.13248333
8827,#289,m1,No UV,13.13248333
6782,#263,m1,No UV,13.13359438
9228,#291,m1,No UV,13.13359438
5383,#258,m1,No UV,13.13470457
11783,#970,m1,No UV,13.13581391
3740,#022,m1,No UV,13.13692239
837,#003,m1,No UV,13.13913682
8155,#282,m1,No UV,13.14024275
9764,#303,m1,No UV,13.14024275
3699,#022,m1,No UV,13.14245209
9816,#303,m1,No UV,13.14245209
3878,#022,m1,No UV,13.14796067
7036,#281,m1,No UV,13.14905986
6490,#263,m1,No UV,13.15015822
10643,#317,m1,No UV,13.15015822
10475,#317,m1,No UV,13.15125575
4538,#131,m1,No UV,13.15235244
6529,#263,m1,No UV,13.15344829
6296,#263,m1,No UV,13.15454332
11694,#970,m1,No UV,13.15454332
12600,#974,m1,No UV,13.15454332
11709,#970,m1,No UV,13.15782341
12283,#974,m1,No UV,13.15782341
989,#003,m1,No UV,13.15891512
7994,#282,m1,No UV,13.15891512
10490,#317,m1,No UV,13.16000601
12727,#974,m1,No UV,13.16000601
3190,#009,m1,No UV,13.16109607
11726,#970,m1,No UV,13.16218531
2624,#009,m1,No UV,13.16327372
9233,#291,m1,No UV,13.16327372
9302,#291,m1,No UV,13.16327372
6408,#263,m1,No UV,13.16544809
11765,#970,m1,No UV,13.16544809
9147,#291,m1,No UV,13.16653405
1756,#006,m1,No UV,13.16761919
8202,#282,m1,No UV,13.16870352
4058,#131,m1,No UV,13.17086973
4249,#131,m1,No UV,13.17086973
8208,#282,m1,No UV,13.17195161
1849,#006,m1,No UV,13.17519241
8761,#289,m1,No UV,13.17627106
10818,#970,m1,No UV,13.17734891
11734,#970,m1,No UV,13.17734891
3038,#009,m1,No UV,13.17842595
10732,#317,m1,No UV,13.17842595
12376,#974,m1,No UV,13.17842595
6211,#263,m1,No UV,13.17950218
782,#003,m1,No UV,13.18057762
9241,#291,m1,No UV,13.18057762
9144,#291,m1,No UV,13.18272608
11784,#970,m1,No UV,13.18272608
3962,#022,m1,No UV,13.18487136
10452,#317,m1,No UV,13.18808329
5739,#258,m1,No UV,13.18915235
10807,#317,m1,No UV,13.19022062
12694,#974,m1,No UV,13.19022062
777,#003,m1,No UV,13.19235479
1875,#006,m1,No UV,13.19235479
12559,#974,m1,No UV,13.19235479
6751,#263,m1,No UV,13.1944858
9316,#291,m1,No UV,13.1944858
11760,#970,m1,No UV,13.1944858
902,#003,m1,No UV,13.19555012
7047,#281,m1,No UV,13.19661367
8878,#289,m1,No UV,13.19661367
4005,#022,m1,No UV,13.19767643
6658,#263,m1,No UV,13.19767643
12308,#974,m1,No UV,13.19767643
10753,#317,m1,No UV,13.1987384
2689,#009,m1,No UV,13.1997996
8039,#282,m1,No UV,13.1997996
11406,#970,m1,No UV,13.1997996
9811,#303,m1,No UV,13.20086001
8070,#282,m1,No UV,13.20191965
12620,#974,m1,No UV,13.20191965
6728,#263,m1,No UV,13.2050939
6855,#263,m1,No UV,13.20931539
2953,#009,m1,No UV,13.21142152
750,#003,m1,No UV,13.21352457
5617,#258,m1,No UV,13.21352457
6581,#263,m1,No UV,13.21352457
12340,#974,m1,No UV,13.21352457
667,#003,m1,No UV,13.21457495
5634,#258,m1,No UV,13.21457495
6374,#263,m1,No UV,13.21457495
11377,#970,m1,No UV,13.21562456
725,#003,m1,No UV,13.21876883
6377,#263,m1,No UV,13.22190627
1549,#006,m1,No UV,13.22295056
1575,#006,m1,No UV,13.22295056
8925,#289,m1,No UV,13.22295056
1770,#006,m1,No UV,13.22607892
12680,#974,m1,No UV,13.2271202
530,#003,m1,No UV,13.22816073
816,#003,m1,No UV,13.22816073
1637,#006,m1,No UV,13.22816073
5823,#258,m1,No UV,13.22816073
7265,#281,m1,No UV,13.23127783
829,#003,m1,No UV,13.23231537
