"","mouse_id","month","treatment","clade_volume","ln2volume"
"203","#970","m1","UV",14140.91783,13.78758814
"204","#003","m1","UV",14161.6726,13.78970405
"205","#970","m1","UV",14161.6726,13.78970405
"206","#006","m1","UV",14175.50912,13.79111293
"207","#022","m1","UV",14175.50912,13.79111293
"208","#022","m1","UV",14182.42738,13.79181686
"209","#022","m1","UV",14293.11949,13.8030332
"210","#970","m1","UV",14355.38381,13.80930428
"211","#970","m1","UV",14362.30206,13.80999939
"212","#003","m1","UV",14369.22032,13.81069416
"213","#970","m1","UV",14493.74895,13.82314319
"214","#970","m1","UV",14514.50372,13.82520762
"215","#970","m1","UV",14528.34024,13.82658227
"216","#006","m1","UV",14542.17675,13.82795562
"217","#970","m1","UV",14549.09501,13.8286418
"218","#022","m1","UV",14694.37841,13.84297671
"219","#003","m1","UV",14708.21493,13.84433454
"220","#022","m1","UV",14715.13318,13.84501298
"221","#006","m1","UV",14735.88796,13.84704638
"222","#003","m1","UV",14756.64273,13.84907691
"223","#006","m1","UV",14798.15227,13.85312943
"224","#022","m1","UV",14839.66181,13.85717059
"225","#970","m1","UV",14881.17136,13.86120047
"226","#970","m1","UV",14901.92613,13.8632112
"227","#003","m1","UV",14908.84439,13.86388082
"228","#022","m1","UV",14943.43567,13.86722426
"229","#006","m1","UV",14971.1087,13.86989345
"230","#022","m1","UV",14978.02696,13.87055997
"231","#022","m1","UV",15033.37302,13.87588112
"232","#006","m1","UV",15054.12779,13.8778715
"233","#022","m1","UV",15074.88256,13.87985914
"234","#003","m1","UV",15116.3921,13.88382623
"235","#022","m1","UV",15123.31036,13.88448635
"236","#022","m1","UV",15178.65642,13.88975647
"237","#970","m1","UV",15192.49293,13.891071
"238","#003","m1","UV",15206.32945,13.89238433
"239","#006","m1","UV",15206.32945,13.89238433
"240","#006","m1","UV",15227.08422,13.89435209
"241","#022","m1","UV",15358.53111,13.90675262
"242","#003","m1","UV",15365.44937,13.90740234
"243","#006","m1","UV",15427.71368,13.91323666
"244","#006","m1","UV",15441.5502,13.91452997
"245","#003","m1","UV",15448.46845,13.9151762
"246","#970","m1","UV",15455.38671,13.91582213
"247","#022","m1","UV",15469.22322,13.91711313
"248","#970","m1","UV",15489.978,13.91904747
"249","#003","m1","UV",15503.81451,13.92033559
"250","#003","m1","UV",15635.2614,13.93251572
"251","#970","m1","UV",15642.17966,13.93315394
"252","#970","m1","UV",15718.28049,13.94015578
"253","#003","m1","UV",15822.05434,13.94964931
"254","#970","m1","UV",15822.05434,13.94964931
"255","#003","m1","UV",15856.64563,13.95279999
"256","#006","m1","UV",15898.15517,13.95657174
"257","#003","m1","UV",15925.8282,13.95908078
"258","#022","m1","UV",15953.50123,13.96158546
"259","#970","m1","UV",15974.256,13.96346112
"260","#003","m1","UV",15988.09252,13.96471021
"261","#003","m1","UV",16029.60206,13.96845099
"262","#022","m1","UV",16036.52032,13.96907351
"263","#022","m1","UV",16098.78464,13.97466416
"264","#970","m1","UV",16161.04895,13.98023322
"265","#003","m1","UV",16230.23152,13.98639596
"266","#003","m1","UV",16244.06804,13.98762535
"267","#003","m1","UV",16264.82281,13.98946749
"268","#022","m1","UV",16334.00538,13.99559099
"269","#022","m1","UV",16368.59667,13.99864302
"270","#970","m1","UV",16382.43318,13.99986203
"271","#022","m1","UV",16396.2697,14.00108001
"272","#022","m1","UV",16410.10621,14.00229696
"273","#003","m1","UV",16444.6975,14.00533485
"274","#003","m1","UV",16465.45227,14.00715452
"275","#003","m1","UV",16513.88007,14.01139151
"276","#022","m1","UV",16513.88007,14.01139151
"277","#022","m1","UV",16569.22613,14.0162186
"278","#006","m1","UV",16583.06264,14.01742286
"279","#970","m1","UV",16596.89916,14.0186261
"280","#970","m1","UV",16686.8365,14.02642285
"281","#006","m1","UV",16721.42779,14.02941042
"282","#003","m1","UV",16749.10082,14.03179603
"283","#970","m1","UV",16762.93733,14.03298735
"284","#970","m1","UV",16776.77385,14.03417769
"285","#970","m1","UV",16783.6921,14.0347725
"286","#022","m1","UV",16790.61036,14.03536705
"287","#006","m1","UV",17108.85019,14.06245519
"288","#022","m1","UV",17129.60497,14.06420426
"289","#006","m1","UV",17191.86928,14.0694388
"290","#022","m1","UV",17212.62405,14.07117943
"291","#003","m1","UV",17254.1336,14.07465441
"292","#006","m1","UV",17337.15268,14.08157936
"293","#970","m1","UV",17371.74397,14.08445497
"294","#006","m1","UV",17378.66223,14.08502941
"295","#003","m1","UV",17440.92654,14.09018906
"296","#003","m1","UV",17489.35434,14.09418941
"297","#970","m1","UV",17530.86389,14.09760947
"298","#970","m1","UV",17530.86389,14.09760947
"299","#022","m1","UV",17537.78214,14.09817869
"300","#006","m1","UV",17558.53692,14.09988502
"301","#022","m1","UV",17572.37343,14.10102144
"302","#003","m1","UV",17648.47426,14.10725585
"303","#006","m1","UV",17689.9838,14.11064511
"304","#970","m1","UV",17703.82032,14.11177309
"305","#970","m1","UV",17703.82032,14.11177309
"306","#006","m1","UV",17710.73858,14.11233676
"307","#022","m1","UV",17710.73858,14.11233676
"308","#970","m1","UV",17724.57509,14.11346342
"309","#006","m1","UV",17828.34895,14.12188548
"310","#970","m1","UV",17911.36804,14.12858791
"311","#970","m1","UV",17939.04107,14.13081515
"312","#006","m1","UV",17952.87758,14.13192748
"313","#006","m1","UV",17973.63235,14.13359438
"314","#970","m1","UV",18015.14189,14.13692239
"315","#006","m1","UV",18174.26181,14.14960915
