mouse_id,month,treatment,structure_volume
#263,m3,UV,13.17519241
#970,m6,UV,13.17519241
#289,m3,UV,13.17627106
#006,m4,UV,13.17734891
#970,m1,UV,13.17734891
#006,m2,UV,13.17842595
#006,m3,UV,13.17950218
#022,m4,UV,13.17950218
#131,m1,UV,13.17950218
#974,m2,UV,13.17950218
#303,m1,UV,13.18057762
#006,m1,UV,13.18165225
#006,m6,UV,13.18165225
#009,m2,UV,13.18165225
#970,m6,UV,13.18165225
#006,m1,UV,13.18379912
#006,m5,UV,13.18379912
#263,m1,UV,13.18379912
#303,m1,UV,13.18379912
#003,m4,UV,13.18487136
#022,m3,UV,13.18487136
#282,m1,UV,13.18487136
#006,m4,UV,13.1859428
#006,m5,UV,13.1859428
#009,m4,UV,13.18701344
#003,m3,UV,13.18808329
#022,m3,UV,13.18808329
#003,m6,UV,13.18915235
#291,m1,UV,13.18915235
#131,m3,UV,13.19022062
#009,m1,UV,13.1912881
#009,m1,UV,13.1912881
#289,m1,UV,13.1912881
#003,m2,UV,13.19235479
#003,m6,UV,13.19235479
#009,m2,UV,13.19235479
#263,m1,UV,13.19342069
#022,m5,UV,13.1944858
#970,m4,UV,13.1944858
#003,m1,UV,13.19555012
#003,m1,UV,13.19661367
#003,m6,UV,13.19661367
#009,m3,UV,13.19661367
#258,m1,UV,13.19767643
#003,m4,UV,13.1987384
#022,m6,UV,13.1987384
#022,m4,UV,13.1987384
#003,m1,UV,13.1997996
#282,m1,UV,13.1997996
#970,m6,UV,13.1997996
#131,m1,UV,13.20191965
#131,m1,UV,13.20191965
#263,m2,UV,13.20191965
#289,m1,UV,13.20191965
#303,m1,UV,13.20191965
#009,m3,UV,13.20297851
#009,m2,UV,13.20297851
#282,m1,UV,13.20297851
#289,m1,UV,13.20297851
#974,m3,UV,13.20297851
#006,m4,UV,13.20403659
#263,m2,UV,13.20403659
#303,m1,UV,13.20403659
#970,m4,UV,13.20403659
#003,m1,UV,13.2050939
#006,m2,UV,13.2050939
#131,m1,UV,13.2050939
#003,m1,UV,13.20615043
#006,m2,UV,13.20615043
#009,m3,UV,13.20615043
#291,m2,UV,13.20615043
#303,m1,UV,13.20615043
#009,m2,UV,13.20720619
#022,m5,UV,13.20720619
#303,m3,UV,13.20826118
#022,m4,UV,13.20931539
#009,m4,UV,13.21036884
#022,m2,UV,13.21142152
#258,m1,UV,13.21142152
#258,m2,UV,13.21142152
#289,m3,UV,13.21142152
#317,m3,UV,13.21142152
#974,m1,UV,13.21142152
#970,m3,UV,13.21247343
#970,m4,UV,13.21247343
#006,m4,UV,13.21352457
#131,m3,UV,13.21352457
#263,m2,UV,13.21457495
#970,m6,UV,13.21457495
#003,m6,UV,13.21562456
#009,m4,UV,13.21562456
#006,m6,UV,13.21667342
#281,m2,UV,13.21667342
#282,m1,UV,13.21667342
#317,m3,UV,13.21667342
#003,m6,UV,13.21772151
#009,m4,UV,13.21772151
#258,m1,UV,13.21876883
#317,m1,UV,13.21876883
#974,m3,UV,13.21876883
#258,m1,UV,13.2198154
#303,m1,UV,13.2198154
#006,m1,UV,13.22086121
#006,m2,UV,13.22086121
#009,m1,UV,13.22086121
#009,m3,UV,13.22086121
#022,m2,UV,13.22086121
#258,m1,UV,13.22086121
#291,m2,UV,13.22086121
#131,m1,UV,13.2239941
#970,m6,UV,13.2239941
#974,m2,UV,13.2239941
#006,m5,UV,13.22607892
#131,m2,UV,13.22607892
#258,m1,UV,13.22607892
#258,m2,UV,13.22607892
#009,m4,UV,13.2271202
#022,m1,UV,13.22816073
#022,m4,UV,13.22920051
#258,m2,UV,13.22920051
#263,m1,UV,13.22920051
#009,m2,UV,13.23023955
#022,m2,UV,13.23023955
#006,m4,UV,13.23127783
#022,m5,UV,13.23127783
#970,m3,UV,13.23127783
#258,m1,UV,13.23231537
#282,m1,UV,13.23231537
#003,m5,UV,13.23335216
#289,m1,UV,13.23335216
#291,m3,UV,13.23335216
#003,m4,UV,13.2343882
#006,m1,UV,13.2343882
#131,m3,UV,13.2343882
#131,m3,UV,13.2343882
#970,m4,UV,13.2343882
#282,m3,UV,13.23542351
#006,m6,UV,13.23645807
#974,m1,UV,13.23645807
#974,m2,UV,13.23645807
#006,m1,UV,13.23749189
#263,m1,UV,13.23749189
#258,m1,UV,13.23852497
#258,m2,UV,13.23852497
#003,m3,UV,13.23955731
#022,m4,UV,13.23955731
#258,m2,UV,13.24058891
#282,m3,UV,13.24058891
#003,m2,UV,13.24161977
#009,m1,UV,13.24161977
#258,m1,UV,13.24161977
