mouse_id,month,treatment,volume,density
#003,m1,No UV,15.75438845,0.479369431
#003,m1,No UV,15.75997506,0.480328992
#003,m1,No UV,15.77358042,0.481836875
#003,m1,No UV,15.80181065,0.486086361
#003,m1,No UV,15.82055849,0.488690884
#003,m1,No UV,15.82881329,0.489650446
#003,m1,No UV,15.84873869,0.49280329
#003,m1,No UV,15.85683426,0.494996573
#003,m1,No UV,15.86153579,0.495544894
#003,m1,No UV,15.88184405,0.497738177
#003,m1,No UV,15.89172782,0.498834818
#003,m1,No UV,15.89664442,0.49979438
#003,m1,No UV,15.91113254,0.502535984
#003,m1,No UV,15.91582213,0.503084304
#003,m1,No UV,15.91759696,0.503495545
#003,m1,No UV,15.92114009,0.503906785
#003,m1,No UV,15.92451406,0.504455106
#003,m1,No UV,15.93331345,0.505414668
#003,m1,No UV,15.94475212,0.507745031
#003,m1,No UV,15.95374385,0.508841672
#003,m1,No UV,15.9741991,0.510897875
#003,m1,No UV,15.97559383,0.511309116
#003,m1,No UV,15.98362598,0.512131597
#003,m1,No UV,16.02477705,0.517477724
#003,m1,No UV,16.03714926,0.520219328
#003,m1,No UV,16.0433697,0.522001371
#003,m1,No UV,16.04528965,0.522686772
#003,m1,No UV,16.04543723,0.522960932
#003,m1,No UV,16.06332999,0.525291295
#003,m1,No UV,16.0771108,0.528169979
#003,m1,No UV,16.1079626,0.533379027
#003,m1,No UV,16.10909268,0.533927347
#003,m1,No UV,16.11388569,0.534886909
#003,m1,No UV,16.1223053,0.53598355
#003,m1,No UV,16.12482163,0.536120631
#003,m1,No UV,16.12649675,0.536531871
#003,m1,No UV,16.13622969,0.538039753
#003,m1,No UV,16.1620492,0.543797121
#003,m1,No UV,16.17546215,0.545853324
#003,m1,No UV,16.17734891,0.546401645
#003,m1,No UV,16.17869508,0.546675805
#003,m1,No UV,16.18312857,0.547224126
#003,m1,No UV,16.19940174,0.54996573
#003,m1,No UV,16.21929221,0.552707334
#003,m1,No UV,16.22138383,0.552981494
#003,m1,No UV,16.23023955,0.554078136
#003,m1,No UV,16.28588898,0.562028787
#003,m1,No UV,16.29237021,0.562988348
#003,m1,No UV,16.29634424,0.563673749
#003,m1,No UV,16.29919382,0.56394791
#003,m1,No UV,16.30462957,0.565455792
#003,m1,No UV,16.31446058,0.566689513
#003,m1,No UV,16.31739687,0.567374914
#003,m1,No UV,16.33065781,0.569019877
#003,m1,No UV,16.33766471,0.570116518
#003,m1,No UV,16.3502637,0.572583962
#003,m1,No UV,16.35562977,0.573269363
#003,m1,No UV,16.3645291,0.574091844
#003,m1,No UV,16.36582973,0.574366004
#003,m1,No UV,16.37125606,0.575188485
#003,m1,No UV,16.38811208,0.577793009
#003,m1,No UV,16.3915991,0.57834133
#003,m1,No UV,16.41737247,0.581082934
#003,m1,No UV,16.41817051,0.581220014
#003,m1,No UV,16.43449025,0.583961618
#003,m1,No UV,16.44649829,0.585058259
#003,m1,No UV,16.44962415,0.58574366
#003,m1,No UV,16.47701861,0.590267306
#003,m1,No UV,16.48280622,0.591912269
#003,m1,No UV,16.49398785,0.593831391
#003,m1,No UV,16.50776378,0.595339273
#003,m1,No UV,16.51545533,0.596572995
#003,m1,No UV,16.5230001,0.597806717
#003,m1,No UV,16.5614854,0.602467443
#003,m1,No UV,16.59645474,0.607676491
#003,m1,No UV,16.60559179,0.608910212
#003,m1,No UV,16.60769215,0.609321453
#003,m1,No UV,16.65071972,0.615627142
#003,m1,No UV,16.65720462,0.616723783
#003,m1,No UV,16.66346821,0.617272104
#003,m1,No UV,16.68257197,0.619739548
#003,m1,No UV,16.69259532,0.620699109
#003,m1,No UV,16.69400811,0.620973269
#003,m1,No UV,16.69447874,0.62124743
