mouse_id,month,treatment,volume,density
#003,m1,UV,17.10031128,0.633588813
#003,m1,UV,17.11339303,0.635874681
#003,m1,UV,17.11472987,0.636009143
#003,m1,UV,17.13421897,0.639101788
#003,m1,UV,17.13754554,0.639370714
#003,m1,UV,17.14782321,0.640984268
#003,m1,UV,17.15084427,0.641925508
#003,m1,UV,17.15139288,0.642194433
#003,m1,UV,17.15836937,0.642463359
#003,m1,UV,17.16476895,0.643404599
#003,m1,UV,17.1663305,0.643539061
#003,m1,UV,17.16944852,0.644480301
#003,m1,UV,17.17296514,0.64488369
#003,m1,UV,17.18292734,0.646362781
#003,m1,UV,17.18768219,0.647438483
#003,m1,UV,17.19302106,0.64824526
#003,m1,UV,17.21043465,0.651068979
#003,m1,UV,17.2343882,0.65348931
#003,m1,UV,17.24129771,0.654161624
#003,m1,UV,17.25169625,0.655775178
#003,m1,UV,17.2526553,0.656044104
#003,m1,UV,17.26879911,0.657388732
#003,m1,UV,17.28582652,0.659405674
#003,m1,UV,17.30160538,0.662632782
#003,m1,UV,17.30253182,0.66303617
#003,m1,UV,17.30561569,0.663439559
#003,m1,UV,17.307832,0.66397741
#003,m1,UV,17.33591618,0.666935592
#003,m1,UV,17.33718257,0.667204518
#003,m1,UV,17.33971203,0.667473444
#003,m1,UV,17.37601676,0.672986419
#003,m1,UV,17.3903215,0.675137824
#003,m1,UV,17.39136689,0.67540675
#003,m1,UV,17.39374523,0.675675676
#003,m1,UV,17.40517601,0.677692618
#003,m1,UV,17.41291812,0.679306172
#003,m1,UV,17.4323475,0.682129891
#003,m1,UV,17.43572934,0.682667742
#003,m1,UV,17.43764221,0.683205594
#003,m1,UV,17.43977712,0.683743445
#003,m1,UV,17.45602216,0.685760387
#003,m1,UV,17.46250246,0.687105015
#003,m1,UV,17.47054838,0.688584106
#003,m1,UV,17.47521206,0.689121958
#003,m1,UV,17.51097358,0.693559231
#003,m1,UV,17.51193513,0.693962619
#003,m1,UV,17.51668005,0.694769396
#003,m1,UV,17.52770883,0.696517413
#003,m1,UV,17.55372479,0.700013446
#003,m1,UV,17.57473678,0.703106091
#003,m1,UV,17.58197857,0.703643942
#003,m1,UV,17.5862454,0.703912868
#003,m1,UV,17.59796484,0.705391959
#003,m1,UV,17.61785061,0.708887992
#003,m1,UV,17.62892322,0.709829232
#003,m1,UV,17.63418253,0.710501546
#003,m1,UV,17.65110769,0.712518489
#003,m1,UV,17.66572606,0.713863117
#003,m1,UV,17.67834321,0.715342208
#003,m1,UV,17.7134111,0.719510555
#003,m1,UV,17.74105568,0.723141051
